date,month,time,desc,type,year,event,dejeuner,entretien,deplacement,voyage
2022-11-02,11,10h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-11-02,11,15h00,Hommage national à Pierre Soulages.,Cérémonie officielle,2022,True,False,False,False,False
2022-11-07,11,Toute la journée,COP27 de Charm el-Cheikh en Égypte.,Sommet,2022,True,False,False,False,False
2022-11-08,11,Après-midi,Réunion avec les dirigeants des 50 sites industriels qui émettent le plus de gaz à effet de serre en France.,Réunion,2022,True,False,False,False,False
2022-11-09,11,10h35,Déplacement consacré à la présentation de la Revue nationale stratégique à Toulon.,Discours,2022,True,False,False,False,False
2022-11-10,11,10h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-11-10,11,13h00,"Entretien avec M. Gustavo Petro, Président de la République de Colombie.",Entretien,2022,True,False,True,False,False
2022-11-10,11,15h00,"Entretien avec M. Aleksandar VUCIC, Président de la République de Serbie.",Entretien,2022,True,False,True,False,False
2022-11-10,11,16h00,"Entretien avec Mme Vjosa OSMANI, Présidente de la République du Kosovo et M. Albin KURTI, Premier ministre de la République du  Kosovo.",Entretien,2022,True,False,True,False,False
2022-11-10,11,17h00,"Entretien avec M. Nicos ANASTASIADES, Président de la République de Chypre.",Entretien,2022,True,False,True,False,False
2022-11-10,11,18h15,"Entretien avec M. Alberto Angel FERNANDEZ, Président de la Nation argentine.",Entretien,2022,True,False,True,False,False
2022-11-10,11,18h30,Lancement du Laboratoire pour la protection de l’enfance en ligne dans le cadre du Forum de Paris sur la Paix.,Sommet,2022,True,False,False,False,False
2022-11-11,11,Matin,Cérémonie de commémoration du 104ème anniversaire de l’Armistice de 1918.,Cérémonie officielle,2022,True,False,False,False,False
2022-11-11,11,16h00,Forum de Paris sur la Paix : débat sur le thème de « l’universalisme mis au défi par la guerre en Ukraine ».,Réunion,2022,True,False,False,False,False
2022-11-12,11,11h00,"Entretien téléphonique avec le Président de la République du Kenya, William RUTO.",Entretien,2022,True,False,True,False,False
2022-11-12,11,12h00,"Entretien téléphonique avec le Président de la République d'Azerbaïdjan, Ilham ALIEV.",Entretien,2022,True,False,True,False,False
2022-11-12,11,19h00,"Entretien téléphonique avec le Président de la République italienne, Sergio MATTARELLA.",Entretien,2022,True,False,True,False,False
2022-11-14,11,19h30,"G20 à Bali - Dîner avec M. Cyril RAMAPHOSA, Président de la République d’Afrique du Sud, M. Paul KAGAME, Président de la République du Rwanda, M. Macky SALL, Président de la République du Sénégal, M. Alberto Angel FERNANDEZ, Président de la Nation argentine, M. Andrés Manuel LOPEZ, Président des Etats-Unis mexicains.",Dîner,2022,True,False,False,False,False
2022-11-15,11,Matin,"G20 à Bali - Entretien bilatéral avec M. XI Jinping, Président de la République populaire de Chine.",Entretien,2022,True,False,True,False,False
2022-11-15,11,Toute la journée,Sommet des dirigeants du G20 à Bali.,Sommet,2022,True,False,False,False,False
2022-11-15,11,Après-midi,"G20 à Bali - Entretien bilatéral avec M. Recep Tayyip ERDOGAN, Président de la République de Turquie.",Entretien,2022,True,False,True,False,False
2022-11-15,11,Après-midi,"G20 à Bali - Entretien bilatéral avec M. Joko WIDODO, Président de la République d’Indonésie.",Entretien,2022,True,False,True,False,False
